institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Florida State University,national-universities,FSU,FL,Tallahassee,32306,,True,public,,#53,53,True,26,31,25,21683,3.7,,,32936,3.3,1210,29477.0,1210-1370,26-31
Fontbonne University,regional-universities-midwest,,MO,St. Louis,63105,midwest,True,private,,#74,74,True,18,79,94,28976,3.3,,,682,,,23544.0,N/A,18-25
Foothill College,regional-colleges-west,,CA,Los Altos Hills,94022,west,True,public,,Unranked,-2,False,,,,11510,,,,12438,,,,N/A,N/A
Fordham University,national-universities,,NY,New York,10023,,True,private,,#89,89,True,30,77,54,61567,3.7,,,10098,3.1,1320,52191.0,1320-1480,30-33
Fort Hays State University,regional-universities-midwest,,KS,Hays,67601,midwest,True,public,,#109,109,True,,,90,15870,,,,11402,,,,N/A,N/A
Fort Lewis College,regional-colleges-west,,CO,Durango,81301,west,True,public,,#23,23,True,16,45,91,19724,3.3,2.1,,3268,2.0,1000,30218.0,1000-1220,16-23
Fort Valley State University,regional-universities-south,,GA,Fort Valley,31030,south,True,public,,#69,69,True,16,,43,20190,3.3,,,2354,,810,,810-950,16-20
Framingham State University,regional-universities-north,,MA,Framingham,01701,north,True,public,,#80,80,True,27,,87,17460,3.1,,,2970,,1010,,1010-1200,27-31
Franciscan Missionaries of Our Lady University,health,,LA,Baton Rouge,70808,,True,private,,Unranked,-2,False,,,55,15012,,,,962,,,,N/A,N/A
Franciscan University of Steubenville,regional-universities-midwest,,OH,Steubenville,43952,midwest,True,private,,#26,26,True,22,61,67,32630,3.9,,,2785,,1100,25644.0,1100-1320,22-28
Francis Marion University,regional-universities-south,,SC,Florence,29502,south,True,public,,#55,55,True,15,36,83,21544,,< 2.0,,3635,< 2.0,890,19207.0,890-1123,15-22
Franklin College,national-liberal-arts-colleges,,IN,Franklin,46131,,True,private,,#139,139,True,18,,93,37350,3.5,,,894,,970,,970-1170,18-25
Franklin & Marshall College,national-liberal-arts-colleges,F&M Franklin & Marshall,PA,Lancaster,17604,,True,private,,#35,35,True,30,58,36,68380,,,,1990,,1300,29609.0,1300-1440,30-32
Franklin Pierce University,regional-universities-north,,NH,Rindge,03461,north,True,private,,#141,141,True,,,89,43155,,,,1279,,,,N/A,N/A
Franklin University,regional-universities-midwest,,OH,Columbus,43215,midwest,True,private,,#149-164,-1,False,,,,9577,,,,4740,,,,N/A,N/A
Franklin University Switzerland,unranked,,,6924 Sorengo (Lugano,,,True,private,,Unranked,-2,False,,,,,,,,0,,,,N/A,N/A
Franklin W. Olin College of Engineering,specialty-engineering,,MA,Needham,02492,,True,private,,Unranked,-2,False,,,19,61802,3.9,4.4,,386,,,,N/A,N/A
Freed-Hardeman University,regional-universities-south,Freed Hardeman University,TN,Henderson,38340,south,True,private,,#36,36,True,19,62,91,24300,3.7,,,1850,,1040,20786.0,1040-1240,19-26
Fresno Pacific University,regional-universities-west,,CA,Fresno,93727,west,True,private,,#41,41,True,25,77,75,35558,3.7,,,1744,,1000,26531.0,1000-1220,25
Friends University,regional-universities-midwest,,KS,Wichita,67213,midwest,True,private,,#124,124,True,18,,56,32748,3.4,,,1279,,985,,985-1165,18-24
Frostburg State University,regional-universities-north,,MD,Frostburg,21532,north,True,public,,#111,111,True,18,,88,25180,,< 2.0,,3264,2.0,970,,970-1160,18-25
Furman University,national-liberal-arts-colleges,,SC,Greenville,29613,,True,private,,#46,46,True,28,45,67,58312,3.7,,,2283,,1260,34330.0,1260-1455,28-33
Galen College of Nursing--Louisville,health,,KY,Louisville,,,True,proprietary,,Unranked,-2,False,,,,42420,,,,3992,,,,N/A,N/A
Gallaudet University,national-universities,,DC,Washington,20002,,True,private,,#236,236,True,14,,59,18254,3.8,,,914,,753,,753-1091,14-20
Gannon University,national-universities,,PA,Erie,16541,,True,private,,#260,260,True,21,,81,36676,3.6,2.2,,2991,,1030,,1030-1263,21-27
Gardner-Webb University,national-universities,Gardner Webb Gardner Webb University,NC,Boiling Springs,28017,,True,private,,#356,356,True,18,,79,33230,,,,1983,,960,,960-1215,18-24
Geneva College,regional-universities-north,,PA,Beaver Falls,15010,north,True,private,,#83,83,False,,,79,30990,,2.4,,1180,,,,N/A,N/A
George Fox University,national-universities,,OR,Newberg,97132,,True,private,,#269,269,True,22,,92,40940,3.7,2.8,,2534,,1020,,1020-1290,22-28
George Mason University,national-universities,GMU,VA,Fairfax,22030,,True,public,,#105,105,True,25,30,90,37976,3.7,2.5,,27014,3.1,1140,45716.0,1140-1350,25-31
Georgetown College,national-liberal-arts-colleges,,KY,Georgetown,40324,,True,private,,#186-204,-1,False,18,,72,42010,3.6,,,1233,,1030,,1030-1230,18-24
Georgetown University,national-universities,,DC,Washington,20057,,True,private,,#22,22,True,32,30,12,65082,,,,7900,4.0,1390,35840.0,1390-1560,32-35
George Washington University,national-universities,GW GWU,DC,Washington,20052,,True,private,,#67,67,True,31,41,49,64990,,2.8,,11482,3.5,1330,42346.0,1330-1490,31-34
Georgia College & State University,regional-universities-south,,GA,Milledgeville,31061,south,True,public,,#16,16,True,21,11,80,28178,3.5,,,5265,2.3,1060,41802.0,1060-1230,21-26
Georgia Gwinnett College,regional-colleges-south,,GA,Lawrenceville,30043,south,True,public,,#47,47,True,15,28,94,16244,3,,,11030,< 2.0,900,32244.0,900-1120,15-20
Georgia Highlands College,regional-colleges-south,,GA,Rome,30161,south,True,public,,Unranked,-2,False,,,,9696,,,,5240,,,,N/A,N/A
Georgia Institute of Technology,national-universities,Georgia Tech,GA,Atlanta,30332,,True,public,,#33,33,True,31,19,17,32876,,4.6,,18415,3.8,1370,35578.0,1370-1550,31-35
Georgia Military College,regional-colleges-south,,GA,Milledgeville,31061,south,True,public,,Unranked,-2,False,,,,7043,,,,7014,,,,N/A,N/A
Georgian Court University,regional-universities-north,,NJ,Lakewood,08701,north,True,private,,#111,111,True,20,,76,37110,3.6,,,1471,,1043,,1043-1251,20-24
Georgia Southern University,national-universities,,GA,Statesboro,30460,,True,public,,#352,352,True,18,,89,20816,3.4,2.6,,22003,2.4,950,,950-1150,18-23
Georgia Southwestern State University,regional-universities-south,,GA,Americus,31709,south,True,public,,#103,103,True,19,,86,19434,,,,2466,< 2.0,990,,990-1170,19-23
Georgia State University,national-universities,,GA,Atlanta,30302,,True,public,,#227,227,True,19,,61,29306,3.6,,,28927,3.4,940,,940-1190,19-26
Gettysburg College,national-liberal-arts-colleges,,PA,Gettysburg,17325,,True,private,,#63,63,True,28,60,56,64230,,,,2241,,1350,31048.0,1350-1440,28-32
Glenville State University,regional-colleges-south,,WV,Glenville,26351,south,True,public,,#52,52,True,,,,11140,,,,1557,,,,N/A,N/A
Goddard College,regional-universities-north,,VT,Plainfield,05667,north,True,private,,Unranked,-2,False,,,100,18477,,,,146,,,,N/A,N/A
God's Bible School and College,regional-colleges-midwest,Gods Bible School and College,OH,Cincinnati,45210,midwest,True,private,,#57,57,True,,,65,7046,,,,336,,,,N/A,N/A
Goldey-Beacom College,regional-universities-north,,DE,Wilmington,19808,north,True,private,,#123,123,True,21,,91,13050,3.3,,,620,,920,,920-1120,21-22
Goldfarb School of Nursing at Barnes-Jewish College,health,Goldfarb School of Nursing at Barnes Jewish College,MO,Saint Louis,63110,,True,private,,Unranked,-2,False,,,,21515,,,,566,,,,N/A,N/A
Gonzaga University,national-universities,,WA,Spokane,99258,,True,private,,#93,93,True,26,42,70,53500,3.7,3.3,,5084,2.9,1210,58001.0,1210-1410,26-31
Good Samaritan College of Nursing and Health Science,health,,OH,Cincinnati,,,True,private,,Unranked,-2,False,,,89,15470,,,,305,,,,N/A,N/A
Goodwin University,regional-colleges-north,,CT,East Hartford,,north,True,private,,#41-44,-1,False,,,,21198,,,,3156,,,,N/A,N/A
Gordon College,national-liberal-arts-colleges,,MA,Wenham,01984,,True,private,,#163,163,True,23,,92,28100,3.7,,,1294,,1070,,1070-1305,23-32
Gordon State College,regional-colleges-south,,GA,Barnesville,30204,south,True,public,,#91-99,-1,False,16,,88,10381,,,,3101,,900,,900-1080,16-23
Goshen College,regional-colleges-midwest,,IN,Goshen,46526,midwest,True,private,,#12,12,True,22,72,94,37760,3.5,,,717,,990,23536.0,990-1220,22-29
Goucher College,national-liberal-arts-colleges,,MD,Baltimore,21204,,True,private,,#124,124,True,24,,81,51250,3.3,,,1002,,1110,,1110-1370,24-33
Governors State University,regional-universities-midwest,,IL,University Park,60484,midwest,True,public,,#149-164,-1,False,16,,57,23536,3.9,,,2609,< 2.0,830,,830-1060,16-22
Grace Christian University,regional-colleges-midwest,,MI,Grand Rapids,49509,midwest,True,private,,#55,55,False,,,100,22350,,,,969,,,,N/A,N/A
Grace College and Seminary,regional-universities-midwest,,IN,Winona Lake,46590,midwest,True,private,,#55,55,True,19,,83,29048,,< 2.0,,1598,,990,,990-1220,19-27
Graceland University,regional-universities-midwest,,IA,Lamoni,50140,midwest,True,private,,#121,121,True,16,,74,33220,3.3,,,890,,830,,830-1085,16-23
Grambling State University,regional-universities-south,,LA,Grambling,71245,south,True,public,,#100,100,True,15,,72,16706,,,,4405,2.0,822,,822-1040,15-19
Grand Canyon University,national-universities,,AZ,Phoenix,85017,,True,proprietary,,#395-435,-1,False,,,83,17800,,2.2,,65870,,,,N/A,N/A
Grand Valley State University,national-universities,,MI,Allendale,49401,,True,public,,#235,235,False,,,92,20820,,2.8,,19379,2.3,,,N/A,N/A
Grand View University,regional-universities-midwest,,IA,Des Moines,50316,midwest,True,private,,#92,92,True,17,,100,33450,,,,1561,,920,,920-1080,17-22
Grays Harbor College,regional-colleges-west,,WA,Aberdeen,98520,west,True,public,,Unranked,-2,False,,,,10284,,,,1469,,,,N/A,N/A
Grayson College,unranked,,TX,,,,True,public,,Unranked,-2,False,,,,5692,,,,4410,,,,N/A,N/A
Great Basin College,regional-colleges-west,,NV,Elko,89801,west,True,public,,#45-48,-1,False,,,,13037,,,,3414,,,,N/A,N/A
Great Lakes Christian College,regional-colleges-midwest,,MI,Lansing,48917,midwest,True,private,,#68-74,-1,False,,,,17220,,,,165,,,,N/A,N/A
Green River College,regional-colleges-west,,WA,Auburn,98092,west,True,public,,Unranked,-2,False,,,,4916,,,,6559,,,,N/A,N/A
Greensboro College,regional-universities-south,,NC,Greensboro,27401,south,True,private,,#103,103,True,,,84,20400,3.4,,,730,,,,N/A,N/A
Greenville University,regional-universities-midwest,,IL,Greenville,62246,midwest,True,private,,#112,112,True,16,,94,30598,3.2,< 2.0,,948,,850,,850-1100,16-25
Grinnell College,national-liberal-arts-colleges,,IA,Grinnell,50112,,True,private,,#11,11,True,31,64,11,64862,,,,1759,,1380,22854.0,1380-1530,31-34
Grove City College,regional-colleges-north,,PA,Grove City,16127,north,True,private,,#4,4,False,25,42,71,20890,3.7,2.5,,2289,,1130,23471.0,1130-1360,25-32
Guilford College,national-liberal-arts-colleges,,NC,Greensboro,27410,,True,private,,#167,167,True,17,,82,41140,,,,1192,,950,,950-1200,17-23
Gulf Coast State College,regional-colleges-south,,FL,Panama City,32401,south,True,public,,Unranked,-2,False,,,,8635,,,,4377,,,,N/A,N/A
Gustavus Adolphus College,national-liberal-arts-colleges,,MN,St. Peter,56082,,True,private,,#67,67,True,25,66,74,54310,3.6,,,2088,,,29637.0,N/A,25-31
Gwynedd Mercy University,national-universities,Gwynedd Mercy College,PA,Gwynedd Valley,19437,,True,private,,#260,260,True,25,,90,38310,3.4,,,1412,,1015,,1015-1235,25-28
Hamilton College,national-liberal-arts-colleges,,NY,Clinton,13323,,True,private,,#16,16,True,33,51,12,65740,,,,2075,,1420,29735.0,1420-1540,33-34
Hamline University,regional-universities-midwest,,MN,St. Paul,55104,midwest,True,private,,#10,10,False,19,81,81,49031,,,,1782,,1010,28486.0,1010-1273,19-26
Hampden-Sydney College,national-liberal-arts-colleges,Hampden Sydney College,VA,Hampden-Sydney,23943,,True,private,,#116,116,True,23,,40,52388,3.4,,,835,,1040,,1040-1310,23-29
Hampshire College,national-liberal-arts-colleges,,MA,Amherst,01002,,True,private,,#139,139,True,,,69,56990,3.3,,,508,,,,N/A,N/A
Hampton University,national-universities,HU,VA,Hampton,23668,,True,private,,#280,280,True,17,,45,29312,3.3,2.3,,2794,,840,,840-1220,17-27
Hannibal-LaGrange University,regional-colleges-midwest,Hannibal LaGrange University,MO,Hannibal,63401,midwest,True,private,,#53,53,True,19,,65,25600,,,,658,,1070,,1070-1317,19-24
Hanover College,national-liberal-arts-colleges,,IN,Hanover,47243,,True,private,,#112,112,True,24,,74,41441,3.8,2.0,,951,,1090,,1090-1270,24-29
Harding University,national-universities,,AR,Searcy,72149,,True,private,,#304,304,True,20,,45,24888,3.7,2.4,,3523,,1040,,1040-1300,20-28
Hardin-Simmons University,national-universities,Hardin Simmons University,TX,Abilene,79698,,True,private,,#395-435,-1,False,18,,87,31686,3.6,,,1347,,1010,,1010-1198,18-24
Harrisburg University of Science and Technology,regional-universities-north,,PA,Harrisburg,17101,north,True,private,,#151-167,-1,False,,,84,23900,3.3,,,649,,,,N/A,N/A
Harris-Stowe State University,regional-colleges-midwest,Harris Stowe State University,MO,St. Louis,63103,midwest,True,public,,#68-74,-1,False,,,17,10690,3,,,1084,,,,N/A,N/A
Hartwick College,national-liberal-arts-colleges,,NY,Oneonta,13820,,True,private,,#121,121,True,19,,60,52849,3.5,,,1099,,1020,,1020-1210,19-27
Harvard University,national-universities,,MA,Cambridge,02138,,True,private,,#3,3,True,34,54,3,59076,3.9,3.6,,7240,,1490,15210.0,1490-1580,34-36
Harvey Mudd College,national-liberal-arts-colleges,,CA,Claremont,91711,,True,private,,#16,16,True,34,44,13,66255,,4.4,,906,,1480,36221.0,1480-1560,34-36
Haskell Indian Nations University,tribal,,KS,Lawrence,66046,,True,public,,Unranked,-2,False,,,94,480,,,,701,,,,N/A,N/A
Hastings College,regional-colleges-midwest,,NE,Hastings,68901,midwest,True,private,,#20,20,False,,72,71,36130,,,,924,,,24993.0,N/A,N/A
Haverford College,national-liberal-arts-colleges,,PA,Haverford,19041,,True,private,,#21,21,True,33,42,14,68020,,,,1421,,1430,23753.0,1430-1540,33-35
Hawaii Pacific University,regional-universities-west,HPU,HI,Honolulu,96813,west,True,private,,#73,73,True,22,,85,31940,,,,4066,,1070,,1070-1238,22-28
Hebrew Theological College,national-liberal-arts-colleges,,IL,Skokie,60077,,True,private,,#186-204,-1,False,,,80,14200,,,,170,,,,N/A,N/A
Heidelberg University,regional-universities-midwest,,OH,Tiffin,44883,midwest,True,private,,#53,53,True,19,81,71,33628,,,,932,,1030,24849.0,1030-1162,19-24
Hellenic College,national-liberal-arts-colleges,,MA,Brookline,02445,,True,private,,Unranked,-2,False,,,76,22490,,,,39,,,,N/A,N/A
Henderson State University,regional-universities-south,,AR,Arkadelphia,71999,south,True,public,,#108,108,False,18,,75,9768,,,,2228,< 2.0,978,,978-1151,18-24
Hendrix College,national-liberal-arts-colleges,,AR,Conway,72032,,True,private,,#112,112,True,23,,60,36650,3.9,,,1130,,1130,,1130-1340,23-31
Henry Ford College,regional-colleges-midwest,,MI,Dearborn,48128,midwest,True,public,,Unranked,-2,False,,,,7348,,,,11379,,,,N/A,N/A
Heritage University,regional-universities-west,,WA,Toppenish,98948,west,True,private,,#50,50,True,,,,19500,,,,811,,,,N/A,N/A
Herzing University,regional-universities-midwest,,WI,Madison,53718,midwest,True,private,,#149-164,-1,False,,,94,12750,,,,1664,,,,N/A,N/A
Herzing University-Atlanta,regional-colleges-south,,GA,Atlanta,,south,True,private,,#91-99,-1,False,,,95,12750,,,,572,,,,N/A,N/A
Herzing University-Brookfield,health,,WI,Brookfield,,,True,private,,Unranked,-2,False,,,91,12750,,,,348,,,,N/A,N/A
Herzing University-Kenosha,health,,WI,Kenosha,,,True,private,,Unranked,-2,False,,,93,12750,,,,644,,,,N/A,N/A
Herzing University--Minneapolis,unranked,,MN,,,,True,private,,Unranked,-2,False,,,94,12750,,,,750,,,,N/A,N/A
Herzing University--Orlando,health,,FL,Winter Park,,,True,private,,Unranked,-2,False,,,94,12750,,,,728,,,,N/A,N/A
Hesston College,regional-colleges-midwest,,KS,Hesston,67062,midwest,True,private,,Unranked,-2,False,,,,29952,,,,331,,,,N/A,N/A
Highline College,regional-colleges-west,,WA,Des Moines,98198,west,True,public,,Unranked,-2,False,,,,4948,,,,4951,,,,N/A,N/A
High Point University,regional-colleges-south,,NC,High Point,27268,south,True,private,,#1,1,False,23,43,79,46548,3.4,,,5036,,1103,39940.0,1103-1280,23-29
Hilbert College,regional-colleges-north,,NY,Hamburg,14075,north,True,private,,#28,28,False,,,93,29900,,,,728,,898,,898-1113,N/A
Hillsdale College,national-liberal-arts-colleges,,MI,Hillsdale,49242,,True,private,,#39,39,True,30,30,21,32092,3.9,,,1573,,1360,35054.0,1360-1520,30-34
Hiram College,regional-colleges-midwest,,OH,Hiram,44234,midwest,True,private,,#10,10,True,16,82,93,26265,3.4,,,1002,,961,21772.0,961-1153,16-23
Hobart and William Smith Colleges,national-liberal-arts-colleges,HWS,NY,Geneva,14456,,True,private,,#70,70,True,27,62,68,63268,3.6,,,1559,,1210,34987.0,1210-1400,27-32
Hodges University,regional-universities-south,,FL,Naples,34119,south,True,private,,#123-135,-1,False,,,,15500,,,,432,,,,N/A,N/A
Hofstra University,national-universities,,NY,Hempstead,11549,,True,private,,#185,185,True,26,63,69,55450,3.8,3.1,,6110,2.8,1190,47470.0,1190-1370,26-31
Hollins University,national-liberal-arts-colleges,,VA,Roanoke,24020,,True,private,,#124,124,True,,,72,41210,3.7,,,691,,1113,,1113-1298,N/A
Holy Apostles College and Seminary,regional-universities-north,,CT,Cromwell,06416,north,True,private,,Unranked,-2,False,,,,9440,,,,278,,,,N/A,N/A
"Holy Cross College at Notre Dame, Indiana",national-liberal-arts-colleges,,IN,Notre Dame,46556,,True,private,,#186-204,-1,False,,,76,35500,3.8,,,494,,1110,,1110-1330,N/A
Holy Family University,regional-universities-north,,PA,Philadelphia,19114,north,True,private,,#116,116,True,18,,77,32558,,,,2171,,930,,930-1220,18-24
Hood College,regional-universities-north,,MD,Frederick,21701,north,True,private,,#60,60,True,,80,78,45870,3.5,,,1202,,,30028.0,N/A,N/A
Hope College,national-liberal-arts-colleges,,MI,Holland,49422,,True,private,,#100,100,True,24,40,80,37221,3.8,2.8,,3251,,1090,25965.0,1090-1330,24-31
Hope International University,regional-universities-west,,CA,Fullerton,92831,west,True,private,,#81,81,False,,,32,36250,3.3,,,590,,930,,930-1070,N/A
Houghton University,national-liberal-arts-colleges,,NY,Houghton,14744,,True,private,,#146,146,True,20,,93,17290,,,,813,,1080,,1080-1290,20-31
Houston Christian University,regional-universities-west,,TX,Houston,77074,west,True,private,,#66,66,False,22,,85,36600,,,,2780,,1040,,1040-1250,22-27
Howard Payne University,regional-colleges-west,,TX,Brownwood,76801,west,True,private,,#30,30,False,19,,62,33552,3.5,,,773,,920,,920-1130,19-22
Howard University,national-universities,HU,DC,Washington,20059,,True,private,,#115,115,True,20,70,53,33344,3.7,2.6,,9809,3.2,1050,40020.0,1050-1290,20-26
Huertas College,health,,PR,Caguas,,,True,proprietary,,Unranked,-2,False,,,,7920,,,,505,,,,N/A,N/A
Hult International Business School,specialty-business,,MA,Cambridge,02141,,True,private,,Unranked,-2,False,,,44,50800,,,,1666,2.3,,,N/A,N/A
Humphreys University,regional-universities-west,,CA,Stockton,95207,west,True,private,,Unranked,-2,False,,,,14760,,,,199,,,,N/A,N/A
Huntingdon College,regional-colleges-south,,AL,Montgomery,36106,south,True,private,,#9,9,False,19,73,66,28650,,,,813,,980,24570.0,980-1070,19-25
Huntington University,regional-universities-midwest,,IN,Huntington,46750,midwest,True,private,,#37,37,False,19,,79,28930,,,,1120,,1010,,1010-1208,19-24
Husson University,national-universities,,ME,Bangor,04401,,True,private,,#361,361,True,,,91,22194,,,,2453,,1020,,1020-1210,N/A
Huston-Tillotson University,regional-colleges-west,Huston Tillotson University,TX,Austin,78702,west,True,private,,#35,35,True,14,,50,14703,,,,991,,820,,820-1000,14-20
Idaho State University,national-universities,,ID,Pocatello,83209,,True,public,,#395-435,-1,False,,,,25936,,2.0,,9818,2.4,,,N/A,N/A
Ilisagvik College,tribal,,AK,Barrow,,,True,public,,Unranked,-2,False,,,,5260,,,,268,,,,N/A,N/A
Illinois College,national-liberal-arts-colleges,,IL,Jacksonville,62650,,True,private,,#124,124,True,21,,77,37470,3.6,,,1028,,960,,960-1130,21-26
Illinois Institute of Technology,national-universities,Illinois Tech IIT,IL,Chicago,60616,,True,private,,#98,98,True,28,64,61,51763,,2.7,,3125,2.5,1220,30396.0,1220-1410,28-32
Illinois State University,national-universities,,IL,Normal,61790,,True,public,,#209,209,True,21,28,86,27011,3.6,,,18055,2.4,1000,22184.0,1000-1210,21-27
Illinois Wesleyan University,regional-colleges-midwest,,IL,Bloomington,61702,midwest,True,private,,#1,1,False,25,70,42,55704,3.8,,,1527,,1120,31813.0,1120-1330,25-30
Immaculata University,national-universities,,PA,Immaculata,19345,,True,private,,#280,280,True,,,70,28550,3.5,,,1508,,1090,,1090-1260,N/A
Indiana State University,national-universities,,IN,Terre Haute,47809,,True,public,,#382,382,True,17,,92,21734,3.2,2.2,,6965,2.5,915,,915-1140,17-24
Indiana Tech,regional-universities-midwest,Indiana Tech,IN,Fort Wayne,46803,midwest,True,private,,#124,124,True,18,,72,29560,3.4,2.3,,1343,,910,,910-1160,18-24
Indiana University--Bloomington,national-universities,IU Bloomington Indiana University Bloomington,IN,Bloomington,47405,,True,public,,#73,73,True,27,16,82,40482,3.8,,,35660,4.2,1180,44122.0,1180-1400,27-32
Indiana University East,regional-universities-midwest,,IN,Richmond,47374,midwest,True,public,,#103,103,True,18,,78,22043,3.3,,,2786,< 2.0,960,,960-1200,18-26
Indiana University--Kokomo,regional-universities-midwest,IU Indiana University Kokomo Indiana University Kokomo,IN,Kokomo,46904,midwest,True,public,,#117,117,True,21,,86,22043,3.3,,,2669,2.0,1000,,1000-1190,21-26
Indiana University Northwest,regional-universities-midwest,,IN,Gary,46408,midwest,True,public,,#141,141,True,20,,80,22043,3.1,,,2860,< 2.0,950,,950-1170,20-25
Indiana University of Pennsylvania,national-universities,,PA,Indiana,15705,,True,public,,#320,320,True,17,,92,14864,3.4,,,7047,2.1,940,,940-1150,17-23
Indiana University-Purdue University--Indianapolis,national-universities,IUPUI Indiana University-Purdue University Indianapolis Indiana University Purdue University Indianapolis,IN,Indianapolis,46202,,True,public,,#201,201,True,21,42,83,33717,3.5,,,17727,,1050,29602.0,1050-1250,21-27
Indiana University--South Bend,regional-universities-midwest,IU South Bend Indiana University South Bend Indiana University South Bend,IN,South Bend,46634,midwest,True,public,,#112,112,True,18,,87,22043,3.1,,,3753,2.0,970,,970-1190,18-22
Indiana University Southeast,regional-universities-midwest,,IN,New Albany,47150,midwest,True,public,,#133,133,True,20,,85,22043,3.4,,,3227,< 2.0,1000,,1000-1190,20-25
Indiana Wesleyan University,regional-universities-midwest,,IN,Marion,46953,midwest,True,private,,#13,13,True,21,59,87,29684,3.7,,,2236,,1000,32272.0,1000-1190,21-27
Indian River State College,regional-colleges-south,,FL,Fort Pierce,34981,south,True,public,,Unranked,-2,False,,,,10201,,,,14461,,,,N/A,N/A
Institute of American Indian Arts,tribal,,NM,Santa Fe,87508,,True,public,,Unranked,-2,False,,,100,5561,,,,742,,,,N/A,N/A
Inter American University of Puerto Rico--Aguadilla,regional-universities-south,Inter American University of Puerto Rico Aguadilla Inter American University of Puerto Rico Aguadilla,PR,Aguadilla,00605,south,True,private,,#118,118,True,,,57,5542,,,,3035,,,,N/A,N/A
Inter American University of Puerto Rico--Arecibo,regional-universities-south,Inter American University of Puerto Rico Arecibo Inter American University of Puerto Rico Arecibo,PR,Arecibo,00614,south,True,private,,#118,118,True,,,53,5580,,,,2728,,,,N/A,N/A
Inter American University of Puerto Rico--Barranquitas,regional-colleges-south,Inter American University of Puerto Rico Barranquitas Inter American University of Puerto Rico Barranquitas,PR,Barranquitas,00794,south,True,private,,#43,43,True,,,79,5542,,,,1101,,,,N/A,N/A
Inter American University of Puerto Rico--Bayamon,regional-colleges-south,Inter American University of Puerto Rico Bayamon Inter American University of Puerto Rico Bayamon,PR,Bayamon,00957,south,True,private,,#89,89,True,,,68,5580,,< 2.0,,3816,,,,N/A,N/A
Inter American University of Puerto Rico--Fajardo,regional-colleges-south,Inter American University of Puerto Rico Fajardo Inter American University of Puerto Rico Fajardo,PR,Fajardo,00738,south,True,private,,#81,81,True,,,53,5580,,,,1313,,,,N/A,N/A
Inter American University of Puerto Rico--Guayama,regional-colleges-south,Inter American University of Puerto Rico Guayama Inter American University of Puerto Rico Guayama,PR,Guayama,00785,south,True,private,,#74,74,True,,,92,5580,,,,1506,,,,N/A,N/A
Inter American University of Puerto Rico--Metropolitan Campus,regional-universities-south,Inter American University of Puerto Rico Metropolitan Campus Inter American University of Puerto Rico Metropolitan Campus,PR,San Juan,00919,south,True,private,,#120,120,True,,,65,5580,,,,3735,,,,N/A,N/A
Inter American University of Puerto Rico--Ponce,regional-colleges-south,Inter American University of Puerto Rico Ponce Inter American University of Puerto Rico Ponce,PR,Mercedita,00715,south,True,private,,#76,76,True,,,62,5580,,,,2968,,,,N/A,N/A
Inter American University of Puerto Rico--San German,regional-universities-south,Inter American University of Puerto Rico San German Inter American University of Puerto Rico San German,PR,San German,00683,south,True,private,,#93,93,True,,,55,5580,,,,2735,,,,N/A,N/A
International College of the Cayman Islands,unranked,,,Grand Cayman KY1-1501,,,True,private,,Unranked,-2,False,,,,,,,,0,,,,N/A,N/A
Iona University,regional-universities-north,,NY,New Rochelle,10801,north,True,private,,#60,60,True,23,32,96,45880,3.4,,,3032,2.3,1030,58028.0,1030-1210,23-31
Iowa State University of Science and Technology,national-universities,,IA,Ames,50011,,True,public,,#115,115,True,21,32,90,26617,3.7,3.2,,25241,2.9,1090,29839.0,1090-1350,21-28
Ithaca College,regional-universities-north,,NY,Ithaca,14850,north,True,private,,#13,13,True,28,64,75,49883,,,,4619,2.4,1203,34588.0,1203-1380,28-32
Jackson College,regional-colleges-midwest,,MI,Jackson,49201,midwest,True,public,,Unranked,-2,False,,,,9375,,,,4103,,,,N/A,N/A
Jackson State University,national-universities,,MS,Jackson,39217,,True,public,,#395-435,-1,False,16,,62,9445,,< 2.0,,4763,2.1,940,,940-980,16-20
Jacksonville State University,regional-universities-south,,AL,Jacksonville,36265,south,True,public,,#63,63,True,16,,76,21912,,,,8067,2.2,1010,,1010-1240,16-23
Jacksonville University,regional-universities-south,,FL,Jacksonville,32211,south,True,private,,#36,36,True,20,68,58,46030,3.7,,,2563,2.3,1060,34151.0,1060-1240,20-26
James Madison University,national-universities,JMU,VA,Harrisonburg,22807,,True,public,,#124,124,True,23,,78,30790,,3.2,,20346,3.0,1140,,1140-1320,23-29
Jamestown Business College,specialty-business,,NY,Jamestown,14701,,True,proprietary,,Unranked,-2,False,,,86,12945,,,,287,,,,N/A,N/A
Jarvis Christian University,regional-colleges-west,,TX,Hawkins,75765,west,True,private,,#34,34,True,,,,11720,,,,721,,,,N/A,N/A
Jessup University,regional-universities-west,,CA,Rocklin,95765,west,True,private,,#56,56,True,,,66,37150,3.5,,,1169,,1020,,1020-1230,N/A
