institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
American College of Thessaloniki,unranked,,,"Thessaloniki, Greece",,,True,private,,Unranked,-2,False,,,,,,,,0,,,,N/A,N/A
American International College,national-universities,,MA,Springfield,01109,,True,private,,#395-435,-1,False,,,58,40550,,,,1288,,940,,940-1110,N/A
American Samoa Community College,regional-colleges-west,,AS,Pago Pago,96799,west,True,public,,Unranked,-2,False,,,,5760,,,,1301,,,,N/A,N/A
American University,national-universities,,DC,Washington,20016,,True,private,,#105,105,True,29,41,41,56544,,,,7917,3.1,1290,42363.0,1290-1435,29-33
American University in Bulgaria,unranked,The American University Bulgaria,,Blagoevgrad 2700,,,True,private,,Unranked,-2,False,,,,,,,,0,,,,N/A,N/A
American University in Cairo,unranked,The American University Cairo,,New Cairo 11835,,,True,private,,Unranked,-2,False,,,32,,,,,5928,,,,N/A,N/A
American University of Beirut,unranked,,,"Riad El Solh, Beirut",,,True,private,,Unranked,-2,False,,,58,,,,,5797,,,,N/A,N/A
American University of Health Sciences,health,,CA,Signal Hill,,,True,proprietary,,Unranked,-2,False,,,,24575,,,,369,,,,N/A,N/A
American University of Paris,unranked,American University Paris American University Paris,,Paris,75007,,True,private,,Unranked,-2,False,,,,,,,,1018,,,,N/A,N/A
American University of Puerto Rico--Bayamon,regional-colleges-south,,PR,Bayamon,00960,south,True,private,,#81,81,True,,,,7056,,,,228,,,,N/A,N/A
American University of Puerto Rico--Manati,regional-colleges-south,American University Puerto Rico American University Puerto Rico,PR,Bayamon,00960,south,True,private,,Unranked,-2,False,,,,7056,,,,273,,,,N/A,N/A
AmeriTech College-Draper,health,,UT,Draper,,,True,proprietary,,Unranked,-2,False,,,86,22603,,,,1996,,,,N/A,N/A
Amherst College,national-liberal-arts-colleges,,MA,Amherst,01002,,True,private,,#2,2,False,32,56,7,67280,,,,1898,,,17257.0,N/A,32-35
Anderson University,regional-universities-south,,SC,Anderson,29621,south,True,private,,#41,41,True,,,45,33570,3.7,,,3237,,,,N/A,N/A
Anderson University (IN),regional-universities-midwest,,IN,Anderson,46012,midwest,True,private,,#67,67,True,17,82,52,35640,3.5,< 2.0,,1129,,980,25148.0,980-1210,17-25
Andrew College,regional-colleges-south,,GA,Cuthbert,39840,south,True,private,,Unranked,-2,False,,,51,19126,,,,272,,,,N/A,N/A
Andrews University,national-universities,,MI,Berrien Springs,49104,,True,private,,#320,320,True,20,,91,33710,3.6,< 2.0,,1295,,1092,,1092-1365,20-29
Angelo State University,regional-universities-west,,TX,San Angelo,76909,west,True,public,,#72,72,False,17,,78,21550,3.6,2.1,,9472,< 2.0,910,,910-1130,17-23
Anna Maria College,regional-universities-north,,MA,Paxton,01612,north,True,private,,#151-167,-1,False,,,73,41010,,,,1119,,,,N/A,N/A
Antelope Valley College,regional-colleges-west,,CA,Lancaster,93536,west,True,public,,Unranked,-2,False,,,,7724,,,,11105,,,,N/A,N/A
Antioch College,national-liberal-arts-colleges,,OH,Yellow Springs,45387,,True,private,,#100,100,True,19,,83,37143,,,,127,,,,N/A,19-26
